Year (CY),Type,Source,Summary,Recommendation/Resolution,Implementing Department,Action Category,Direct/Indirect?,Targeted at Homelessness?,Actionable?,Status of the Recommendation/Resolution 
2014,Community Report,Housing the Hardest to Serve: Using Permanent Supportive Housing to Address Chronic Homelessness in the City of Austin,,10. Explore the Possibility of a Risk Mitigation Pool.,AHFC,Recommendations for planning and approach,Indirect,No,,
Unclear,Community Report,Tenant Relocation Policy Recommendations,,"Eligibility: A tenant relocation policy should apply to all developments with the intent to demolish and/or renovate a multi-family apartment complex that will result in the displacement of its residents. Chapter § 25-2-3 of the City Code defines Multifamily Residential as “(B)(7)… three or more dwelling units, within one or more buildings…”. ",Council ,Recommendations for planning and approach,Indirect,No,,Implemented: Tenant Relocation Ordinance and Rules http://austintexas.gov/page/tenant-relocation-assistance-policy-development
Unclear,Community Report,Tenant Relocation Policy Recommendations,,Notification Process: The developer should be required to provide at least a six-month notice of the final move-out date to each tenant household. ,Council ,Recommendations for planning and approach,Direct,No,Actionable,Implemented: Tenant Relocation Ordinance and Rules
Unclear,Community Report,Tenant Relocation Policy Recommendations,,Relocation Assistance: The City should create an internal case management/realtor assistance program to assist with tenant relocation to qualified tenants.,Council ,Recommendations for planning and approach,Direct,No,Actionable,Not Implemented
Unclear,Community Report,Tenant Relocation Policy Recommendations,,Relocation Assistance: The developer should allow flexible move-out dates to tenants who choose to move out after notice is given.,Council ,Recommendations for planning and approach,Direct,No,Actionable,Not Implemented
2014,Community Report,"August 12, 2014 Update Report to Council on Permanent Supportive Housing",,CoC funded PSH programs should be required to include an ICC authorization as part of client intake into PSH.,Council,Recommendations for process improvements,Indirect,Yes,,
2014,Community Report,"City of Austin July 31, 2014 Comprehensive Housing Market Analysis",,"Adopt quick fixes for regulatory barriers. Regulatory “quick fixes” should be employed now, to take advantage of opportunity to create affordable units. “Quick fixes” should include the following:
Modifications to accessory dwelling unit (ADU) regulations:
• Reduce the minimum lot size for homes with ADUs.
• Allow a wider variety of ADU types—attached to or within less than 15 feet of the primary dwelling unit.
• Allow lower parking requirements for ADUs, especially in older neighborhoods built before parking requirements were imposed. Do not impose additional parking requirements for the primary dwelling unit if they do currently exist and were not required at the time of development.
• Waive impact fees for developed affordable units, beyond S.M.A.R.T Housing units, up to an annual maximum subsidy.
• Allow more flexibility in driveway requirements for ADUs, particularly in older areas where lots cannot accommodate the requirements.
Improvements to the development process:
• Begin the process of strengthening departmental coordination to streamline the development approval process for affordable housing.
• Institute fast track development processes, beyond the S.M.A.R.T housing program, for units that contain a target proportion of affordable units (not cash-in-lieu units).
",City,Recommendations for process improvements,Indirect,No,,
2010,Community Report,"Ending Community Homelessness Coalition (ECHO) Housing Committee Austin/Travis County, Texas Permanent Supportive Housing Services Work Group August 31, 2010",,Consider certifications of permanents supportive housing case managers to ensure level of sophistication necessary to address complex client needs in present.,Unclear,Recommendations for process improvements,Indirect,Yes,,
2010,Community Report,"Ending Community Homelessness Coalition (ECHO) Housing Committee Austin/Travis County, Texas Permanent Supportive Housing Services Work Group August 31, 2010",, Explore centralized intake.,Unclear,Recommendations for planning and approach,Indirect,Yes,,
2017,Community Report,Finding the Balance: Low-Wage Jobs and Affordable Housing in the City of Austin,,"2. Invest in Areas that Increase Geographic Dispersion of Affordable Housing. (The seven zip codes identified on page 20 exhibit the starkest jobs-housing gap, ranging from 10,507 (78752) to 47,871 (78701). Six of the seven zip codes are west of IH-35, and the remaining zip code (78752) spans IH-35. Using IH-35 as a dividing line (and proxy for high opportunity), NHCD could prioritize these zip codes in Rental Housing Developer Assistance (RHDA) applications. Alternatively, NHCD could require jobs-housing analysis as part of the RHDA application.)",City ,Recommendations for planning and approach,Indirect,No,,Not Implemented
2012,Community Report,Comprehensive Financing Recommendations for 350-Unit PSH Goal,,"Recommended PSH Rental Subsidy Strategy - The committee recommends that, in addition to the 111 committed or anticipated HUD Continuum of Care rental subsidies, the local public housing authorities commit 164 Housing Choice Vouchers to the initiative (124 from the Housing Authority of the City of Austin and 40 from the Travis County Housing Authority), and that 75 VASH vouchers be utilized for chronically homeless veterans. In particular, the committee recommends the deployment of project-based vouchers (subsidies that are attached to units rather than portable to any willing landlord). ",NHCD,Preserving and expanding the supply of affordable housing,Direct,Yes,,
2014,Community Report,"City of Austin July 31, 2014 Comprehensive Housing Market Analysis",,"Make the density bonus and developer entitlement programs consistent with current needs. This could involve modifying affordability targets (lower MFI for rental units to match the needs in the gaps analysis), acceptance of Section 8 and other similar vouchers (required), cash in lieu fees (raised) and consistent onsite or offsite options. A proportion of units should also be required address the need for larger, affordable units to accommodate low-income families, who have very limited options in the current rental market.",City,Preserving and expanding the supply of affordable housing,Indirect,No,,
2015,Council Resolution,20151001-AHFC003,,Approves up to $25 million in revenue bonds for an affordable housing project.,AHFC,Financing,Direct,No,Actionable,Status unknown: commission and taskforce recommendations are not tracked
2014,Community Report,"City of Austin July 31, 2014 Comprehensive Housing Market Analysis",,"Consider preservation initiatives - Preservation efforts should focus on neighborhoods that have traditionally been home to low income residents and workers, have experienced strong price increases and are in close proximity to low wage jobs.",City,Preserving and expanding the supply of affordable housing,Indirect,No,,
2014,Community Report,"City of Austin July 31, 2014 Comprehensive Housing Market Analysis",,Set a Citywide affordable housing goal. Establishing a citywide goal for housing affordability would institute a citywide effort to preserve existing income diversity. This goal should be targeted to areas of need identified in this market study.,City,Preserving and expanding the supply of affordable housing,Indirect,No,,
2014,Community Report,"City of Austin July 31, 2014 Comprehensive Housing Market Analysis",,The city establish a target goal for affordable housing and manage all programs and policies to that goal.,City,Preserving and expanding the supply of affordable housing,Indirect,No,,
2014,Community Report,"City of Austin July 31, 2014 Comprehensive Housing Market Analysis",,"All city programs and policies should be linked to achievement of the citywide target. For example, developers who receive any type of entitlement or funding in a geographic area would be required to move a neighborhood closer toward the affordable housing goal. Neighborhoods that exceed the target and are at risk of gentrification should not be exempt from the requirements, as preservation and creation of affordable units is important to prevent displacement.",City,Preserving and expanding the supply of affordable housing,Indirect,No,,
2014,Community Report," December 5, 2014 Homestead Preservation Districts (HRD): Council resolution No. 20140213-047",,"It is recommended that the City utilize criteria that directly reflect the affordable housing supply and demand conditions in each HPD, as well as the City’s fiscal goal of limiting tax increment financing areas to maintain a robust tax base for general municipal services.",Council,Preserving and expanding the supply of affordable housing,Indirect,No,,Implemented: HPD A and HPD A TIF in place
2014,Community Report,"Permanent Supportive Housing (PSH) in Austin, Texas: Successes, Challenges and Future Implications for the City's 2010 Permanent Supportive Housing (PSH) Strategy",,"Next Goal: The City should continue to support PSH as the primary intervention to end chronic homelessness. To do so, the City should set a new target of 400 PSH units, with a minimum of 200 dedicated to Housing First PSH. These units should be in part funded by G.O. Bond funds, Housing Trust Fund and General Revenue to support capital development, rental subsidies and support services.",City ,Preserving and expanding the supply of affordable housing,Direct,Yes,,
2017,Community Report,Finding the Balance: Low-Wage Jobs and Affordable Housing in the City of Austin,,1. Adopt and Implement Homestead Preservation Districts and TIFs. (Two zip codes – 78752 and 78741),City ,Preserving and expanding the supply of affordable housing,Direct,No,Actionable,Implemented: HPD A only. The City of Austin no longer meets the eligibility requirements of the state legislation.
2014,Community Report,"August 12, 2014 Update Report to Council on Permanent Supportive Housing",,"The City should continue to support PSH as the primary intervention to end chronic homelessness. To do so, the City should set a new target of 400 PSH units, with a minimum of 200 dedicated to Housing First PSH. These units should be in part funded by G.O. Bond funds, Housing Trust Funds and General Revenue to support capital development, rental subsidies and support services.",Council,Preserving and expanding the supply of affordable housing,Direct,Yes,,
2010,Community Report,"Permanent Supportive Housing Program and Financial Model for Austin/Travis County, Texas ",,"Short-Term Production Goals - Early production should focus on serving those with mental illness and co-occurring disorders. At least 300 units should be targeted to tenants with mental health treatment needs, including at least 150 units to those with co-occurring disorders.",Austin/Travis County ,Preserving and expanding the supply of affordable housing,Direct,Yes,,
2010,Community Report,"Permanent Supportive Housing Program and Financial Model for Austin/Travis County, Texas ",,"Short-Term Production Goals - The four year (2010 – 2013) unit goal should be 350 units, “screening in” the most vulnerable. This goal only partially addresses the need for 1900 units, but will establish success and set the stage for future production. Of these units, the community should target
• 30 units for families with children (including 10 for young adults transitioning from foster care with children)
• 10 units for unaccompanied youth
• 310 units for single adults, as follows:
o 225 for chronically homeless with substantial criminal justice involvement,
o 75 units for chronically homeless, frequent users of shelter who may or may not be criminal justice involved, and
o 10 units for young adults transitioning from foster care",Austin/Travis County ,Preserving and expanding the supply of affordable housing,Direct,Yes,,
2008,Council Resolution,20080131-078,A resolution directing the City Manager to work with Travis County to begin the steps needed to implement a Tax Increment Financing (TIF) Reinvestment Zone in all or portion of the Homestead Preservation District. ,That the City Manager is hereby directed to work with Travis County to begin the steps needed to implement a Tax Increment Financing (TIF) Reinvestment Zone in all or portion of the Homestead Preservation District.,City Manager,Recommendations for planning and approach,Indirect,No,,
2008,Council Resolution,20080131-080,,City Manager is directed to develop a plan to provide technical assistances for small business owners who want to expand to new locations.,City Manager,Recommendations for planning and approach,Indirect,No,,
2008,Council Resolution,20080306-40,A resolution directing the City Manager to initiate a review and discussion with University of Texas Board of Regents and other stakeholders regarding redevelopment of the Brackenridge Tract and to identify the city staff that will coordinate the City's efforts regarding the Brackenridge Tract,"The City Manager shall begin dialogue with appropriate representatives of the Board of Regents of the University of Texas System and the University of Texas at Austin to assure that the City and the University of Texas at Austin, which is an integral part of the Austin community, can work cooperatively about the Brackenridge Tract and many other interests that the City and The University of Texas have in common; and the City Manager shall report back to City Council on March 20, 2008, its next regular meeting, the city staff that will be heading up these efforts.",City Manager,Recommendations for planning and approach,Indirect,No,,
2008,Council Resolution,20080410-047,"A resolution authorizing negotiation and execution a lease with Mobile Loaves and Fishes for its Habitat on Wheels program, that serves the public purpose of providing low and / or moderate income housing on land owned by the City adjacent to the East Service Center located on Harold Court","The City Manager is directed to negotiate and execute a lease with Mobile Loaves and Fishes for its Habitat on Wheels program, that serves the public purpose of providing low and/or moderate income housing on land owned by the City adjacent to the East Service Center located on Harold Court.",City Manager,Preserving and expanding the supply of affordable housing,Indirect,No,,
2008,Council Resolution,20080618-063,A resolution directing the City Manager to initiate amendments to the East 11th Street Neighborhood Conservation Combining District to ensure consistency with proposed revisions to the Urban Renewal Plan for the East 11th and 12th Streets Urban Renewal Area,"WHEREAS, based on community feedback, the Urban Renewal Agency's recommendations for development of Blocks 16 and 18 are expected to include greater flexibility for construction of mixed-use development, rehabilitation of historic structures, the creation of an African American Cultural Heritage Facility, and increased affordable residential housing; NOW, THEREFORE BE IT RESOLVED BY THE CITY COUNCIL OF THE CITY OF AUSTIN: The City Manager is directed to initiate amendments to the East 11th Street Neighborhood Conservation Combining District to ensure consistency with the proposed revisions to the Urban Renewal Plan.",City Manager,Recommendations for planning and approach,Indirect,No,,
2008,Council Resolution,20081016-038,"A resolution directing the City Manager to evaluate the feasibility of establishing a citywide Land Bank Program in order to acquire, hold, and transfer unimproved real property and expand affordable housing opportunities by acquiring additional available properties throughout the City of Austin.","The City Manager is hereby directed to evaluate the feasibility of establishing a citywide Land Bank Program in order to acquire, hold, and transfer unimproved real property and expand affordable housing opportunities by acquiring additional available properties throughout the City of Austin.",City Manager,Preserving and expanding the supply of affordable housing,Indirect,No,,
2008,Council Resolution,20081016-037,"A resolution establishing the City Council's guiding vision for the Brackenridge Tract and directing the City Manager to investigate the feasibility of a land exchange with the University of Texas, by compiling an inventory of undeveloped City-owned land and considering the potential for a bond issuance to fund acquisition of the Lions Municipal Golf Course and property used by the West Austin Youth Association","The Austin City Council respectfully requests that the Board of Regents of the University of Texas work with the City of Austin in master planning the Brackenridge Tract to meet the following goals: […]
D. Any redevelopment of the Brackenridge Tract should preserve and enhance current affordable housing levels and continue to serve University of Texas students and families with children.",Council,Recommendations for planning and approach,Indirect,No,,Presumed Implemented
2008,Council Resolution,20081016-013,A resolution adopting the City's preliminary tax increment reinvestment zone project and financing plans for the Homestead Preservation Reinvestment Zone project area; and authorizing the City Manager to distribute to all other taxing jurisdictions the project and financing plans and the City's notice of intent to designate the Homestead Preservation Reinvestment Zone Number One and to hold a public hearing on the creation of the zone; and authorizing the City Manager to take other steps as necessary to create the reinvestment zone. ,"Council authorizes the City Manager to distribute the preliminary project and financing plan and the City's notice of intent to designate the Homestead Preservation Reinvestment Zone to all other taxing jurisdictions, and to hold a public hearing on the creation of the Zone;
(3) Council directs the City Manager to meet and confer with Travis County representatives to reach agreement on the terms of the TIP Zone, including the amount of tax increments to be contributed, in order to allow approval of TIF Zone creation by both City and County by the end of 2008; and
(4) Council authorizes the City Manager to take other steps as necessary to create the Homestead Preservation Reinvestment Zone.",City Manager,Recommendations for planning and approach,Indirect,No,,
2008,Council Resolution,20081106-AHFC004,"A Resolution authorizing the staff and legal representatives to apply for an allocation of up to $60,000,000 of Housing and Economic Recovery Act volume cap multi-family non-recourse bonds to finance the acquisition and rehabilitation, or new construction, of up to five affordable multi-family apartment complexes","2. The Board authorizes its staff to apply for Emergency Housing Volume Cap for private activity bonds in an amount not to exceed $60,000,000 to issue qualified housing bonds to finance the acquisition, equipping or rehabilitation of one or more qualified residential rental projects to be located within the jurisdiction of AHFC.",AHFC,Financing,Indirect,No,,
2009,Council Resolution,20090129-012,,City Manager is authorized to apply for TDHCA neighborhood stabilization funds to mitigate the impact of foreclosure.,City Manager,Financing,Indirect,No,,
2009,Council Resolution,20090326-049,,"Council states support for affordable housing tax credits in Austin, focusing on Mueller and TODs.",N/A,Financing,Indirect,No,,
2009,Council Resolution,20090611-AHFC003,,"WHEREAS, AHFC desires to further its public purposes and functions by creating a related, affiliate, non-profit corporation and instrumentality named Village On Little Texas Non-Profit Corporation (Related Corporation), appointing and maintaining its board of directors, and otherwise exercising control over the Related Corporation, its dissolution and its assets; and WHEREAS, by creating the Related Corporation, AHFC intends to cause the creation of a mixed-income rental housing apartment complex on 11.1 acres in the 400 block of Little Texas Lane, west of Interstate Highway 35 in South Austin, Travis County, Texas that will be initially known as Village on Little Texas. Of the total 240 units, 50 units will be reserved for families with yearly household incomes not to exceed 50 percent of Austin's median family income, including 18 units for families with yearly incomes not to exceed 30 percent of Austin's median family income. A minimum of 24 units will be made accessible for families with mobility disabilities and five units will be made available for families with hearing and vision disabilities; BE IT RESOLVED BY THE BOARD OF DIRECTORS OF THE AUSTIN HOUSING FINANCE CORPORATION: Section 1. The Board of Directors hereby finds, determines, recites and declares that it is wise, expedient, necessary and advisable that the Related Corporation be formed. ",AHFC,Preserving and expanding the supply of affordable housing,Indirect,No,,
2009,Council Resolution,20090611-041,,Council supports College Houses and NASCO in efforts to secure federal funding for low-income student housing.,N/A,Recommendations for planning and approach,Indirect,No,,
2009,Council Resolution,MLGC20090827-002,"RESOLUTION AUTHORIZING THE ISSUANCE OF MUELLER LOCAL GOVERNMENT CORPORATION CONTRACT REVENUE BONDS, SERIES 2009, IN AN AGGREGATE PRINCIPAL AMOUNT NOT TO EXCEED $15,000,000; APPROVING CONTRACT DOCUMENTS RELATING TO THE SERIES 2009 BONDS; AND CONTAINING OTHER PROVISIONS RELATED THERETO"," Section 3.1: Bonds to be Sold; Principal Amount, Purpose. The Series 2009 Bonds shall be issued in fully registered form, without coupons, in the aggregate principal amount not to exceed $15,000,000 for the purpose of (1) paying costs of constructing the Project and (2) paying Costs of Issuance, all under and pursuant to the authority of the Act and all other applicable law",City Manager,Financing,Indirect,No,,
2009,Council Resolution,20091105-AHFC002,"Approve an inducement resolution for private activity bond financing to be submitted to the Texas Bond Review Board for an allocation of up to $6 million in private activity volume cap multi-family non-recourse bonds for the acquisition and rehabilitation of the Elm Ridge Apartments, 1161 Harvey Street, by the bond financing applicant, Elm Ridge Affordable Partners, Ltd., Tuscaloosa, Alabama, or its affiliate","[Bonds for Elm Ridge - resolution for revenue bonds]
WHEREAS, the term ""Borrower"" shall mean Elm Ridge Affordable Partners, Ltd. and/or one of its subsidiary, affiliate or related corporations or entities; and […]
WHEREAS, the Borrower has advised the Issuer that a contributing factor which would further induce the Borrower to proceed with providing for the acquisition, construction and/or improvement of the Project would be a commitment and agreement by the Issuer to issue revenue bonds pursuant to the Act (Bonds) to finance and pay for the Project; and [the City resolves to adopt a revenue bond resolution when requested by the borrower]. ",AHFC,Financing,Indirect,No,,
2009,Council Resolution,20091210-AHFC003,"Adopt a resolution approving the issuance of Austin Housing Finance Corporation Multi-family Housing Revenue Bonds, in an aggregate principal amount not to exceed $6 million; approving related documents, in substantially the form attached to the resolution, to provide financing for the acquisition and rehabilitation of the Elm Ridge Apartments, 1121 Harvey Street, to be owned and operated by Elm Ridge Affordable Partners, Ltd., an affiliate of Summit Housing Partners, Inc., Tuscaloosa, Alabama; and authorizing specific named representatives of the Austin Housing Finance Corporation to execute the documents relating to issuance of the bonds and closing the transaction","[Issuance of bonds for a collateralized mortgage loan for Elm Ridge Apartments]
RESOLUTION AUTHORIZING THE ISSUANCE, SALE, AND DELIVERY OF MULTIFAMILY HOUSING REVENUE BONDS (GNMA COLLATERALIZED MORTGAGE LOANELM RIDGE APARTMENTS) SERIES 2010; APPROVING AND AUTHORIZING THE EXECUTION AND DELIVERY OF RELATED DOCUMENTS; AND AUTHORIZING REPRESENTATIVES OF THE AUSTIN HOUSING FINANCE CORPORATION TO EXECUTE DOCUMENTS.
WHEREAS, the Corporation desires to use the proceeds of the Bonds to fund a mortgage loan to Elm Ridge Affordable Partners, Ltd.( Borrower), in order to finance the costs of acquisition and rehabilitation of a residential rental project containing units occupied by persons of low and moderate income, as determined by the Corporation, as required by Section 142(d) and 145 of the Code, and described in Exhibit D attached to this resolution (Project) located within the City of Austin. ",AHFC,Financing,Indirect,No,,
2010,Council Resolution,20101209-021,A resolution authorizing a fee-in-lieu of providing affordable housing on site in exchange for a development bonus in the Plaza Saltillo Transit-Oriented Development district for the property at 916 East 7th Street (the Bonneville Mixed Use project).,"The City Council finds that the developer has demonstrated that providing the required onsite affordable housing is not economically feasible and the City Council approves payment into the Housing Assistance Fund in lieu of providing affordable housing on site in exchange for a development bonus for the property located at 916 E. 7th Street, also known as the Bonneville Mixed Use Project.",Council,Financing,Indirect,No,,
2010,Council Resolution,20100325-053,"A resolution directing the City Manager to develop a comprehensive strategy to construct and operate permanent supportive housing units and to give funding priority to permanent supportive housing, while continuing to fund affordable home ownership, home repair, and rental projects","The city manager is directed to work with the Director of Neighborhood Housing and Community Development, the Director of Health and Human Services, and community stakeholders to develop a comprehensive strategy, based on information gathered on best practices in other cities, that will include both the construction and operation of 350 permanent supportive housing units over the next four years. Community stakeholders should include both governmental and private-sector entities. The city manager shall present the comprehensive strategy for the permanent supportive housing units to Council before October 1, 2010 and report annually on the status.",City Manager,Recommendations for planning and approach,Indirect,No,,
2011,Commission Report,Community Development Commission,,"Shift affordability standard to the ""Undergraduate Cost of Attendance"" with the goal of achieving greater affordability than market rents. Seek public comment on shifting the affordability methodology from units to bedrooms.",Council,Preserving and expanding the supply of affordable housing,Direct,No,Actionable,Status unknown: commission and taskforce recommendations are not tracked
2010,Council Resolution,20100513-033,A resolution directing the City Manager to coordinate the City's participation in partnership with the Board of Directors for the Rebecca Baines Johnson (RBJ ) complex on Lady Bird Lake and the community stakeholder group to evaluate the future use of City property and the potential to participate in the development of a master plan for the 26.78 contiguous acres surrounding the RBJ complex,The City Manager is directed to coordinate the City's participation in partnership with the RBJ Board of Directors and the community stakeholder group to evaluate the future use of City property and the potential to participate in the development of a master plan for the 26.78 contiguous acres.,City Manager,Recommendations for planning and approach,Indirect,No,,
2010,Council Resolution,20100624-088,A resolution directing the City Manager to provide a description of needs and a financial analysis of a possible November 2012 comprehensive bond package,"The City Manager is further directed to begin preparations for a future general comprehensive bond program with a potential November 2012 election date which would include investments in the transportation network, including urban rail, roads, sidewalks, bicycle infrastructure, and trails, as well as other needs, such as parks, libraries, open space, and affordable housing. These preparations should include the appropriate financial analysis, including tax rate impact. Preparations should be made in coordination with comprehensive planning efforts that are currently underway, including Imagine Austin and the Strategic Mobility Plan. The financial analysis should include various bond capacity scenarios, which the City Manager is directed to provide to the City Council on to July 29, 2010.",City Manager,Recommendations for planning and approach,Indirect,No,,
2010,Council Resolution,20100624-083,"A resolution directing the City Manager to work with the Central Texas Federal Congressional delegation to assess the likelihood of obtaining FAA approval to release City airport land for use by the Mobile Loaves and Fishes' Habitat on Wheels program, including the financial impact; to evaluate other City owned property that is available and appropriate for use by the Mobile Loaves and Fishes Habitat on Wheels program; and to report back to Council within sixty days",The City Manager is directed to work with the Central Texas Federal delegation to assess the likelihood of gaining FAA approval to release property for non-aviation use as well as its financial impact and report back to Council in 60 days; and The City Manager is directed to evaluate other City-owned property that is available and would be appropriate for use by Mobile Loaves and Fishes' Habitat on Wheels program and report back to Council in 60 days.,City Manager,Recommendations for planning and approach,Indirect,No,,
2010,Council Resolution,20100624-077,,"City Manager is directed to review all City policies, programs, and procedures for serving local small businesses and input received at the recent small business summit, and report to Council within 120 days on recommendations for enhancing the growth of locally-owned businesses.",City Manager,Recommendations for planning and approach,Indirect,No,,
2010,Council Resolution,20100913-014,"A resolution directing the City Manager to allocate $125,000 from the Holly Neighborhood Grants Assistance Program for various community outreach programs for Fiscal Year 2009-2010 and detailing the Holly Good Neighbor Program funding plan for Fiscal Year 2010-2011",City Manager is directed to allocate $125k from the Holly Grants Assistance Program to certain cultural/community development activities.,City Manager,Financing,Indirect,No,,
2010,Council Resolution,20101209-AHFC004,"Approve an inducement resolution for private activity bond financing to be submitted to the Texas Bond Review Board for an allocation of up to $6 million in private activity volume cap multi-family non-recourse bonds for the acquisition and rehabilitation of the Marshall Apartments, 1401 East 12th Street and 1157 Salina Street by the bond financing applicant, MARSHALL AFFORDABLE PARTNERS, LTD., Montgomery, Alabama, or its affiliate.","[Issuance of bonds again to finance the Marshall Apartments Project]
WHEREAS, the Issuer declares that this Resolution shall, in accordance with its provisions, constitute the agreement of the Issuer to issue the Bonds in such aggregate principal amount, now estimated not to exceed $6,000,000, as is actually required to finance and pay for the acquisition, construction, and/or improvement of the Project.",AHFC,Financing,Indirect,No,,
2011,Council Resolution,20110113-040,A resolution directing the city manager to research best practices on engaging communities and building support for permanent supportive housing projects and report his findings and recommendations to the Comprehensive Planning and Transportation Subcommittee,"That the City Manager is directed to research best practices from other cities on engaging communities and building support for permanent supportive housing projects. The City Manager shall report his findings and recommendations to the Comprehensive Planning and Transportation Subcommittee by March 7, 2011 wherein the committee members will receive public comment and identify a schedule for additional community dialogue. The stakeholder discussion should start no later than March 21, 2011.",City Manager,Recommendations for planning and approach,Indirect,No,,
2016,Commission Report,Community Development Commission,,"CDC recommends that City Council pursue emergency rezoning of the Levander Loop (also known as Gardner Road) site, designate it as a site for the relocation of Cactus Rose Mobile Home Park residents, and expedite the development of the site for those residents.",Council,Preserving and expanding the supply of affordable housing,Direct,No,Actionable,Status unknown: commission and taskforce recommendations are not tracked
2011,Council Resolution,20110303-009,"A resolution authorizing the Urban Renewal Agency of the City of Austin to transfer the following property to the Austin Housing Finance Corporation for the development of mixed income residential housing: 1005, 1007, 1009, 1011, 1013, 1015, 1017, 1019, 1021 and 1023 Juniper Street, 1155, 1157 and 1159 Curve Street, 1154, 1156 and 1158 Waller Street ","The City Council authorizes the transfer of the property located at 1005,1007, 1009,1011, 1013, 1015, 1017, 1019, 1021 and 1023 Juniper Street, 1155, 1157 and 1159 Curve Street, 1154, 1156 and 1158 Waller Street (Block 17 - Tract II) from the Urban Renewal Agency of the City of Austin to the AUSTIN HOUSING FINANCE CORPORATION for the development of mixed-income residential housing.","Urban Renewal Agency, AHFC",Controlling land for community development,Indirect,No,,
2015,Council Resolution,20151112-027,Initiating code amendments related to relocation requirements for developments that will result in displacement of tenants,"• Initiates code amendments to establish tenant relocation assistance requirements for demo permit applications for multifamily properties that will result in displacement of tenants.
• City Manager shall explore, including temporary relocation requirements, and emergency relocations.
• City Manager shall hold two public meetings for input.
• City Manager shall present an ordinance to Housing Committee within 120 days.
• City Manager shall provide info on additional resources needed to establish the program within 180 days.",City Manager,Preserving and expanding the supply of affordable housing,Direct,No,Actionable,Implemented
2017,Council Resolution,20170803-058,Directing the City Manager to add certain information to the City's Resources for Renters webpage.,"• City Manager is directed to add additional info to the Resources for Renters page on the NHCD website, including info for displaced families; the info should be in all languages identified in OCA's Language Access Audit; within 120 days.
• City Manager is directed to update the NHCD website with these additional resources, and other resources she deems to be appropriate, no later than 120 days after the adoption of this resolution.
• City Manager shall continue work on creating a database of affordable developments within the city limits with features such as average rent, unit size, bedroom number, and proximity to amenities and prepare an item for the FY18 budget if necessary.
• City Manager shall make recommendations to Council regarding best practices for ensuring that both information regarding availability and opportunities to lease
subsidized rental units are made equitably available to households targeted for such housing, including consideration of the City taking a more direct role in the leasing of subsidized units to targeted populations.",City Manager,Preserving and expanding the supply of affordable housing,Direct,No,Actionable,Implemented
2008,Council Resolution,20081218-031,"A resolution to initiate code amendments to Chapter 25-2 of the City Code (Transit Oriented Development) related to compatibility standards, affordability requirements, and to eliminate a height prohibition in the Plaza Saltillo TOD, and other conforming amendments necessary to reflect adoption of transit oriented development (TOD) base district zoning and station area plans","The City Manager is directed to process City Code amendments related to transit oriented development and Station Area Plans as follows: […] Remove the provisions in Section 25-2-766.22.B.8(b) which prohibit a height increase (through a height bonus) on properties in the Community Preservation and Revitalization Zone (CP&R) unless 25% affordability is provided. This is necessary to allow the height bonus strategy in the MLK and Plaza Saltillo Station Area Plans where the developer is required to provide 15% affordability with the City financing the gap, if able, to reach the 25% goal.",City Manager,Recommendations for planning and approach,Direct,No,Actionable,"Status unknown: according to CMO, item predates the City's resolution tracking system"
2011,Council Resolution,20110303-AHFC002,"RESOLUTION AUTHORIZING THE ISSUANCE, SALE, AND DELIVERY OF MULTIFAMILY HOUSING REVENUE BONDS (MARSHALL APARTMENTS) SERIES 2011; APPROVING AND AUTHORIZING THE EXECUTION AND DELIVERY OF RELATED DOCUMENTS; AND AUTHORIZING REPRESENTATIVES OF THE AUSTIN HOUSING FINANCE CORPORATION TO EXECUTE DOCUMENTS","Authorizing the issuance of Austin Housing Finance Corporation Multi-Family Housing Revenue Bonds, in an amount not to exceed an aggregate principal amount of six million dollars in the form and substance of a trust indenture, a financing agreement, a regulatory agreement with respect to the project, and approve other matters in connection with the transaction to provide financing for the acquisition and rehabilitation of the Marshall Apartments, 1401 East 12th Street and 1157 Salina Street, to be owned and operated by MARSHALL AFFORDABLE PARTNERS, LTD, an affiliate of Summit Housing Partners, Inc., Montgomery AL, and authorize the Austin Housing Finance Corporation General Manager and the Austin Housing Finance Corporation Treasurer to execute the necessary documents to issue the bonds and close the transaction. ",AHFC,Financing,Direct,No,Actionable,Presumed implemented
2014,Council Resolution,20140626-100,City Manager to convene community meetings to discuss development ideas for the 411 Chicon Street site and prepare analyses for Council resulting from the community meetings.,"City Manager is directed to initiate the enhanced review process and convene community meetings to discuss ideas for the 411 Chicon site that could include the sale of the property, public private partnerships, and other project delivery methods that could result in mixed-used development, affordable living units of varying sizes or other appropriate compatible uses, and the relocation of all City of Austin departments currently occupying 411 Chicon.",City Manager,Controlling land for community development,Direct,No,Actionable,Underway
2011,Council Resolution,20110609-008,A resolution authorizing the City Manager to create a Texas non-profit entity to apply for and receive new market tax credits and to perform other duties necessary to carry out the purposes of the new market tax credit program,City Manager is authorized to create a Texas non-profit corporation for the purpose of applying for and receiving an allocation of New Market Tax Credits for investment in low-income areas.,City Manager,Recommendations for planning and approach,Direct,No,Actionable,"Status unknown: according to CMO, Request for Council Action (RFAs) are not tracked"
